ID,Quarry,Forest,Facies,Spec.Abrev,Species,perc.dam,div.dam,perc.spec,div.spec,perc.gall,div.gall,perc.mine,div.mine,d15N,d13C,wt.perc_N,wt.perc_C,C:N,perc.P,phos_error,Anthocyanin(ug/cm-2),Anth_error,lignin(perc),perc.water,LMA (mean),LMA_sd,SLA,leaf touchness (N),margin_type,trichomes,trichomes (cm-2),tannin.perc(condenced),phenols.perc,cellulose.perc,perc.area.dam (mean)
HF1901RM,HF1901,Harvard Forest,Swamp,RM,Acer rubrum,0.841523342,16.95,0.549140049,7.17,0.405405405,2.01,0.141277641,1.92,-3.8,-28.8,1,49.4,49.2,0.24,0.06,5.7,2,22.6,,80.04,32.32,7.33,,1,1,,12.78,7.64,26.49,1.96
HF1901RM-REP,HF1901,Harvard Forest,Swamp,RM,Acer rubrum,0.841523342,16.95,0.549140049,7.17,0.405405405,2.01,0.141277641,1.92,-3.8,-28.8,1,49.2,49.5,0.24,0.06,5.7,2,22.6,,81.3,32.32,7.33,,1,1,,12.78,7.64,26.49,1.46
HF1902RM,HF1902,Harvard Forest,Tributary,RM,Acer rubrum,0.932409012,16.49,0.487001733,6.67,0.268630849,1.3,0.039861352,0.81,-0.5,-29.5,1.2,34.9,29.1,0.24,0.06,5.7,2,22.6,,81.05,43.05,7.33,,1,1,,12.78,7.64,26.49,2.68
HF1902RM-REP,HF1902,Harvard Forest,Tributary,RM,Acer rubrum,0.932409012,16.49,0.487001733,6.67,0.268630849,1.3,0.039861352,0.81,-0.5,-29.4,1.2,34.4,28.7,0.24,0.06,5.7,2,22.6,,74.65,43.05,7.33,,1,1,,12.78,7.64,26.49,2.67
HF1903RM,HF1903,Harvard Forest,Fluvial,RM,Acer rubrum,0.900311526,15.19,0.370716511,5.18,0.214953271,1.25,0.012461059,0.32,-0.4,-30.4,1.1,38.6,36.1,0.24,0.06,5.7,2,22.6,,68.74,14.38,7.33,,1,1,,12.78,7.64,26.49,3.55
HF1903RM-REP,HF1903,Harvard Forest,Fluvial,RM,Acer rubrum,0.900311526,15.19,0.370716511,5.18,0.214953271,1.25,0.012461059,0.32,-0.3,-30.4,1.1,38.9,36.4,0.24,0.06,5.7,2,22.6,,70.9,14.38,7.33,,1,1,,12.78,7.64,26.49,4.15
HF1901RO,HF1901,Harvard Forest,Swamp,RO,Quercus rubra,0.973684211,19.8,0.789473684,7.02,0.026315789,0.81,0.368421053,1.81,-2.4,-29.2,1.9,47.1,25.3,0.16,0.02,3,0.8,31.05,,62.44,11.09,6.89,,0,0,,14.11,9.31,31.94,3.95
HF1901RO-REP,HF1901,Harvard Forest,Swamp,RO,Quercus rubra,0.973684211,19.8,0.789473684,7.02,0.026315789,0.81,0.368421053,1.81,-2.5,-29.1,2.2,53.5,24.9,0.16,0.02,3,0.8,31.05,,62.44,11.09,6.89,,0,0,,14.11,9.31,31.94,3.95
HF1902RO,HF1902,Harvard Forest,Tributary,RO,Quercus rubra,0.99751861,19.02,0.789081886,8.77,0.024813896,0.61,0.037220844,0.79,0.1,-29.5,1,25.5,26.1,0.16,0.02,3,0.8,31.05,,61.28,9.66,6.89,,0,0,,14.11,9.31,31.94,5.25
HF1902RO-REP,HF1902,Harvard Forest,Tributary,RO,Quercus rubra,0.99751861,19.02,0.789081886,8.77,0.024813896,0.61,0.037220844,0.79,0,-29.4,1,26.9,26.8,0.16,0.02,3,0.8,31.05,,62.81,9.66,6.89,,0,0,,14.11,9.31,31.94,5.54
